cell_id,state,ahj,project_family,family,issuing_authority,application_authority,authority_tier,handled_by_local_ahj
us-ak-homer__commercial__commercial_tenant_improvement__building,AK,Homer,commercial_tenant_improvement,building,City of Homer Planning Department for zoning/development permits; Alaska State Fire Marshal for commercial building/fire/fuel plan review; Alaska DOLWD Mechanical Inspection for applicable electrical/plumbing/gas/fuel trade inspections,City of Homer Planning Department plus Alaska Department of Public Safety State Fire Marshal Plan Review Bureau; Alaska DOLWD Mechanical Inspection for applicable electrical/plumbing/gas/fuel/mechanical trade inspections,mixed_city_zoning_state_administered_commercial_plan_review_and_trade_inspection,True
us-ak-juneau__commercial__commercial_tenant_improvement__building,AK,Juneau,commercial_tenant_improvement,building,City and Borough of Juneau Community Development,City and Borough of Juneau Community Development,local,True
us-ak-kake__commercial__commercial_tenant_improvement__building,AK,Kake,commercial_tenant_improvement,building,City of Kake,City of Kake,local,True
us-ak-kenai__commercial__commercial_tenant_improvement__building,AK,Kenai,commercial_tenant_improvement,building,City of Kenai Building Official,City of Kenai Building Department / Building Official,local_city_building_department_with_fire_marshal_and_planning_review,True
us-ak-kenai__commercial__commercial_tenant_improvement__building,AK,Kenai,commercial_tenant_improvement,occupancy,City of Kenai Building Official,City of Kenai Building Department / Building Official,local_city_building_department_with_fire_marshal_and_planning_review,True
us-ak-kenai_peninsula_borough__commercial__commercial_tenant_improvement__building,AK,Kenai Peninsula Borough,commercial_tenant_improvement,building,"State of Alaska Department of Public Safety, Division of Fire and Life Safety (State Fire Marshal)","State of Alaska Department of Public Safety, Division of Fire and Life Safety (State Fire Marshal)",state_administered,True
us-ak-ketchikan_city__commercial__commercial_tenant_improvement__building,AK,Ketchikan City,commercial_tenant_improvement,building,City of Ketchikan Public Works Building Division,City of Ketchikan Public Works Building Division,local,True
us-ak-ketchikan_gateway_borough__commercial__commercial_tenant_improvement__building,AK,Ketchikan Gateway Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-kodiak_city__commercial__commercial_tenant_improvement__building,AK,Kodiak City,commercial_tenant_improvement,building,AK|us-ak-kodiak_city|city|City of Kodiak Building Safety,AK|us-ak-kodiak_city|city|City of Kodiak Building Safety,local,True
us-ak-kodiak_island_borough__commercial__commercial_tenant_improvement__building,AK,Kodiak Island Borough,commercial_tenant_improvement,building,Kodiak Island Borough,Kodiak Island Borough,local,True
us-ak-kotzebue__commercial__commercial_tenant_improvement__building,AK,Kotzebue,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-kotzebue__commercial__commercial_tenant_improvement__building,AK,Kotzebue,commercial_tenant_improvement,zoning,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-lake_and_peninsula_borough__commercial__commercial_tenant_improvement__building,AK,Lake And Peninsula Borough,commercial_tenant_improvement,building,Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),state_administered_trades_plus_county_zoning,True
us-ak-lake_and_peninsula_borough__commercial__commercial_tenant_improvement__building,AK,Lake And Peninsula Borough,commercial_tenant_improvement,electrical,Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),state_administered_trades_plus_county_zoning,True
us-ak-lake_and_peninsula_borough__commercial__commercial_tenant_improvement__building,AK,Lake And Peninsula Borough,commercial_tenant_improvement,mechanical,Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),state_administered_trades_plus_county_zoning,True
us-ak-lake_and_peninsula_borough__commercial__commercial_tenant_improvement__building,AK,Lake And Peninsula Borough,commercial_tenant_improvement,zoning,Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),Alaska DOLWD Mechanical Inspection (electrical/plumbing/mechanical) + Alaska State Fire Marshal (building/fire-life-safety) + Lake and Peninsula Borough Planning (zoning/development permit),state_administered_trades_plus_county_zoning,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,building,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,electrical,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,fire,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,mechanical,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,occupancy,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,plumbing,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-matanuska_susitna_borough__commercial__commercial_tenant_improvement__building,AK,Matanuska Susitna Borough,commercial_tenant_improvement,zoning,"Central Mat-Su Fire Department (CMSFD) — Fire and Life Safety Division (state-deferred JHA under the Alaska State Fire Marshal), Matanuska-Susitna Borough","Central Mat-Su Fire Department, Fire and Life Safety Division (Permit Technician) — Matanuska-Susitna Borough; online plan-review applications via Tyler EnerGov self-service portal",state_administered,True
us-ak-north_slope_borough__commercial__commercial_tenant_improvement__building,AK,North Slope Borough,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-northwest_arctic_borough__commercial__commercial_tenant_improvement__building,AK,Northwest Arctic Borough,commercial_tenant_improvement,building,Northwest Arctic Borough,Northwest Arctic Borough,local,True
us-ak-northwest_arctic_borough__commercial__commercial_tenant_improvement__building,AK,Northwest Arctic Borough,commercial_tenant_improvement,fire,Northwest Arctic Borough,Northwest Arctic Borough,local,True
us-ak-palmer__commercial__commercial_tenant_improvement__building,AK,Palmer,commercial_tenant_improvement,building,City of Palmer Community Development Building,City of Palmer Community Development Building,local,True
us-ak-pelican__commercial__commercial_tenant_improvement__building,AK,Pelican,commercial_tenant_improvement,building,City of Pelican,City of Pelican,local,True
us-ak-petersburg_borough__commercial__commercial_tenant_improvement__building,AK,Petersburg Borough,commercial_tenant_improvement,building,Petersburg Borough Community Development,Petersburg Borough Community Development,local,True
us-ak-sitka__commercial__commercial_tenant_improvement__building,AK,Sitka,commercial_tenant_improvement,building,City and Borough of Sitka Building Department,City and Borough of Sitka Building Department,local,True
us-ak-soldotna__commercial__commercial_tenant_improvement__building,AK,Soldotna,commercial_tenant_improvement,building,City of Soldotna Building Department,City of Soldotna Building Department,local,True
us-ak-unalaska__commercial__commercial_tenant_improvement__building,AK,Unalaska,commercial_tenant_improvement,building,City of Unalaska Department of Public Works,City of Unalaska Department of Public Works,local,True
us-ak-unalaska__commercial__commercial_tenant_improvement__building,AK,Unalaska,commercial_tenant_improvement,zoning,City of Unalaska Department of Public Works,City of Unalaska Department of Public Works,local,True
us-ak-wasilla__commercial__commercial_tenant_improvement__building,AK,Wasilla,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-ak-yakutat__commercial__commercial_tenant_improvement__building,AK,Yakutat,commercial_tenant_improvement,building,"Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau","Alaska Department of Public Safety, Division of Fire and Life Safety / State Fire Marshal Plan Review Bureau",state_administered,True
us-al-alabaster__commercial__commercial_tenant_improvement__building,AL,Alabaster,commercial_tenant_improvement,building,City of Alabaster Department of Engineering and Building Services,City of Alabaster Department of Engineering and Building Services,local,True
us-al-albertville__residential__residential_building_work__building,AL,Albertville,residential_remodel,building,,,unknown,True
us-al-albertville__residential__residential_building_work__building,AL,Albertville,residential_remodel,demolition,,,unknown,True
us-al-albertville__residential__residential_building_work__building,AL,Albertville,residential_remodel,electrical,,,unknown,True
us-al-albertville__residential__residential_building_work__building,AL,Albertville,residential_remodel,mechanical,,,unknown,True
us-al-albertville__residential__residential_building_work__building,AL,Albertville,residential_remodel,plumbing,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,building,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,electrical,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,mechanical,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,moving,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,plumbing,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,pool,,,unknown,True
us-al-andalusia__residential__residential_building_work__building,AL,Andalusia,residential_remodel,sign,,,unknown,True
us-al-anniston__residential__residential_building_work__building,AL,Anniston,residential_remodel,building,,,unknown,True
us-al-anniston__residential__residential_building_work__building,AL,Anniston,residential_remodel,electrical,,,unknown,True
us-al-anniston__residential__residential_building_work__building,AL,Anniston,residential_remodel,fire,,,unknown,True
us-al-anniston__residential__residential_building_work__building,AL,Anniston,residential_remodel,mechanical,,,unknown,True
us-al-anniston__residential__residential_building_work__building,AL,Anniston,residential_remodel,plumbing,,,unknown,True
us-al-auburn__commercial__commercial_tenant_improvement__building,AL,Auburn,commercial_tenant_improvement,building,City of Auburn Inspection Services Department,City of Auburn Inspection Services Department,local,True
us-al-baldwin_county__commercial__commercial_tenant_improvement__building,AL,Baldwin County,commercial_tenant_improvement,building,Baldwin County Building Inspection Department,Baldwin County Building Inspection Department,local,True
us-al-bessemer__commercial__commercial_tenant_improvement__building,AL,Bessemer,commercial_tenant_improvement,building,City of Bessemer Building Inspections Department,City of Bessemer Building Inspections Department,local,True
us-al-birmingham__commercial__commercial_tenant_improvement__building,AL,Birmingham,commercial_tenant_improvement,building,"City of Birmingham Department of Planning, Engineering & Permits","City of Birmingham Department of Planning, Engineering & Permits",local,True
us-al-boaz__residential__residential_building_work__building,AL,Boaz,residential_remodel,building,,,unknown,True
us-al-daphne__residential__residential_building_construction_alteration_or_repair__building,AL,Daphne,residential_remodel,building,,,unknown,True
us-al-decatur__commercial__commercial_tenant_improvement__building,AL,Decatur,commercial_tenant_improvement,building,City of Decatur Building Department,City of Decatur Building Department,local,True
us-al-dothan__commercial__commercial_tenant_improvement__building,AL,Dothan,commercial_tenant_improvement,building,City of Dothan Planning and Development Department,City of Dothan Planning and Development Department,local,True
us-al-enterprise__commercial__commercial_tenant_improvement__building,AL,Enterprise,commercial_tenant_improvement,building,City of Enterprise Engineering and Building Permits,City of Enterprise Engineering and Building Permits,local,True
us-al-fairhope__commercial__commercial_tenant_improvement__building,AL,Fairhope,commercial_tenant_improvement,building,City of Fairhope Building and Permitting Department,City of Fairhope Building and Permitting Department,local_city_building_inspection_and_permitting,True
us-al-fairhope__commercial__commercial_tenant_improvement__building,AL,Fairhope,commercial_tenant_improvement,zoning,City of Fairhope Building and Permitting Department,City of Fairhope Building and Permitting Department,local_city_building_inspection_and_permitting,True
us-al-florence__commercial__commercial_tenant_improvement__building,AL,Florence,commercial_tenant_improvement,building,City of Florence Building Department,City of Florence Building Department,local,True
us-al-fultondale__residential__residential_building_work__building,AL,Fultondale,residential_remodel,building,,,unknown,True
us-al-fultondale__residential__residential_building_work__building,AL,Fultondale,residential_remodel,fire,,,unknown,True
us-al-gadsden__commercial__commercial_tenant_improvement__building,AL,Gadsden,commercial_tenant_improvement,building,City of Gadsden Building Department,City of Gadsden Building Department,local,True
us-al-gardendale__residential__residential_building_work__building,AL,Gardendale,residential_remodel,building,,,unknown,True
us-al-gardendale__residential__residential_building_work__building,AL,Gardendale,residential_remodel,fire,,,unknown,True
us-al-gardendale__residential__residential_building_work__building,AL,Gardendale,residential_remodel,septic_oss_health,,,unknown,True
us-al-gulf_shores__residential__residential_building_work__building,AL,Gulf Shores,residential_remodel,building,,,unknown,True
us-al-gulf_shores__residential__residential_building_work__building,AL,Gulf Shores,residential_remodel,demolition,,,unknown,True
us-al-gulf_shores__residential__residential_building_work__building,AL,Gulf Shores,residential_remodel,mechanical,,,unknown,True
us-al-gulf_shores__residential__residential_building_work__building,AL,Gulf Shores,residential_remodel,plumbing,,,unknown,True
us-al-hartselle__residential__residential_building_work__building,AL,Hartselle,residential_remodel,building,,,unknown,True
us-al-homewood__commercial__commercial_tenant_improvement__building,AL,Homewood,commercial_tenant_improvement,building,City of Homewood Inspections & Permits Department / Homewood Fire Inspections for fire alarm/sprinkler plans as applicable,City of Homewood Inspections & Permits Department,local,True
us-al-homewood__commercial__commercial_tenant_improvement__building,AL,Homewood,commercial_tenant_improvement,occupancy,City of Homewood Inspections & Permits Department / Homewood Fire Inspections for fire alarm/sprinkler plans as applicable,City of Homewood Inspections & Permits Department,local,True
us-al-hoover__commercial__commercial_tenant_improvement__building,AL,Hoover,commercial_tenant_improvement,building,Hoover,City of Hoover Building Inspections Department,local,True
us-al-houston_county__residential__residential_building_work__building,AL,Houston County,residential_remodel,building,,,unknown,True
us-al-houston_county__residential__residential_building_work__building,AL,Houston County,residential_remodel,mechanical,,,unknown,True
us-al-houston_county__residential__residential_building_work__building,AL,Houston County,residential_remodel,septic_oss_health,,,unknown,True
us-al-huntsville__commercial__commercial_tenant_improvement__building,AL,Huntsville,commercial_tenant_improvement,building,City of Huntsville Inspection Department,City of Huntsville Inspection Department,local,True
us-al-jefferson_county__commercial__commercial_tenant_improvement__building,AL,Jefferson County,commercial_tenant_improvement,building,Jefferson County Development Services / Building Division,Jefferson County Development Services / Building Division,local,True
us-al-lee_county__residential__residential_building_construction_alteration_or_repair__building,AL,Lee County,residential_remodel,building,,,unknown,True
us-al-lee_county__residential__residential_building_construction_alteration_or_repair__building,AL,Lee County,residential_remodel,electrical,,,unknown,True
us-al-lee_county__residential__residential_building_construction_alteration_or_repair__building,AL,Lee County,residential_remodel,mechanical,,,unknown,True
us-al-lee_county__residential__residential_building_construction_alteration_or_repair__building,AL,Lee County,residential_remodel,plumbing,,,unknown,True
us-al-lee_county__residential__residential_building_construction_alteration_or_repair__building,AL,Lee County,residential_remodel,pool,,,unknown,True
us-al-madison__commercial__commercial_tenant_improvement__building,AL,Madison,commercial_tenant_improvement,building,City of Madison Building Department,City of Madison Building Department,local,True
us-al-madison_county__residential__residential_building_construction_alteration_or_repair__building,AL,Madison County,residential_remodel,building,,,unknown,True
us-al-madison_county__residential__residential_building_construction_alteration_or_repair__building,AL,Madison County,residential_remodel,demolition,,,unknown,True
us-al-madison_county__residential__residential_building_construction_alteration_or_repair__building,AL,Madison County,residential_remodel,electrical,,,unknown,True
us-al-madison_county__residential__residential_building_construction_alteration_or_repair__building,AL,Madison County,residential_remodel,mechanical,,,unknown,True
us-al-madison_county__residential__residential_building_construction_alteration_or_repair__building,AL,Madison County,residential_remodel,plumbing,,,unknown,True
us-al-mobile__commercial__commercial_tenant_improvement__building,AL,Mobile,commercial_tenant_improvement,building,City of Mobile Build Mobile Department,City of Mobile Build Mobile Department,local,True
us-al-mobile_county__residential__residential_building_construction_alteration_or_repair__building,AL,Mobile County,residential_remodel,building,,,unknown,True
us-al-mobile_county__residential__residential_building_construction_alteration_or_repair__building,AL,Mobile County,residential_remodel,demolition,,,unknown,True
us-al-montgomery__commercial__commercial_tenant_improvement__building,AL,Montgomery,commercial_tenant_improvement,building,City of Montgomery Inspection Department,City of Montgomery Inspection Department,local,True
us-al-montgomery_county__residential__residential_building_construction_alteration_or_repair__building,AL,Montgomery County,residential_remodel,building,,,unknown,True
us-al-mountain_brook__residential__residential_building_work__building,AL,Mountain Brook,residential_remodel,building,,,unknown,True
us-al-northport__commercial__commercial_tenant_improvement__building,AL,Northport,commercial_tenant_improvement,building,City of Northport Planning and Inspections,City of Northport Planning and Inspections,local,True
us-al-oneonta__residential__residential_building_work__building,AL,Oneonta,residential_remodel,building,City of Oneonta Building Department,City of Oneonta Building Department,local,True
us-al-opelika__commercial__commercial_tenant_improvement__building,AL,Opelika,commercial_tenant_improvement,building,Opelika,Opelika,local,True
us-al-opelika__commercial__commercial_tenant_improvement__building,AL,Opelika,commercial_tenant_improvement,occupancy,Opelika,Opelika,local,True
us-al-oxford__residential__residential_building_work__building,AL,Oxford,residential_remodel,building,City of Oxford Building Department,City of Oxford Building Department,local,True
us-al-pelham__commercial__commercial_tenant_improvement__building,AL,Pelham,commercial_tenant_improvement,building,City of Pelham Building Department,City of Pelham Building Department,local,True
us-al-phenix_city__commercial__commercial_tenant_improvement__building,AL,Phenix City,commercial_tenant_improvement,building,City of Phenix City Building Department,City of Phenix City Building Department,local,True
us-al-prattville__commercial__commercial_tenant_improvement__building,AL,Prattville,commercial_tenant_improvement,building,City of Prattville Building Department,City of Prattville Building Department,local,True
us-al-scottsboro__residential__residential_building_work__building,AL,Scottsboro,residential_remodel,building,City of Scottsboro Building Department,City of Scottsboro Building Department,local,True
us-al-selma__residential__residential_building_work__building,AL,Selma,residential_remodel,building,City of Selma Building Department,City of Selma Building Department,local,True
us-al-shelby_county__residential__residential_building_construction_alteration_or_repair__building,AL,Shelby County,residential_remodel,building,Shelby County Department of Development Services,Shelby County Department of Development Services,local,True
us-al-talladega__residential__residential_building_work__building,AL,Talladega,residential_remodel,building,City of Talladega Building Code Enforcement,City of Talladega Building Code Enforcement,local,True
us-al-troy__residential__residential_building_work__building,AL,Troy,residential_remodel,building,City of Troy Building Department,City of Troy Building Department,local,True
us-al-trussville__residential__residential_building_work__building,AL,Trussville,residential_remodel,building,City of Trussville Building Department,City of Trussville Building Department,local,True
us-al-tuscaloosa__commercial__commercial_tenant_improvement__building,AL,Tuscaloosa,commercial_tenant_improvement,building,City of Tuscaloosa Buildings and Inspections Division,City of Tuscaloosa Buildings and Inspections Division,local,True
us-al-vestavia_hills__residential__residential_building_construction_alteration_or_repair__building,AL,Vestavia Hills,residential_remodel,building,City of Vestavia Hills Building Safety Department,City of Vestavia Hills Building Safety Department,local,True
us-al-wetumpka__residential__residential_building_work__building,AL,Wetumpka,residential_remodel,building,City of Wetumpka Building Department,City of Wetumpka Building Department,local,True
us-ar-arkadelphia__commercial__commercial_tenant_improvement__building,AR,Arkadelphia,commercial_tenant_improvement,building,City of Arkadelphia building/permit authority,City of Arkadelphia building/permit authority,local,True
us-ar-batesville__commercial__commercial_tenant_improvement__building,AR,Batesville,commercial_tenant_improvement,building,City of Batesville building/permit authority,City of Batesville building/permit authority,local,True
us-ar-bella_vista__commercial__commercial_tenant_improvement__building,AR,Bella Vista,commercial_tenant_improvement,building,City of Bella Vista Building Department,City of Bella Vista Building Department,local,True
us-ar-benton__commercial__commercial_tenant_improvement__building,AR,Benton,commercial_tenant_improvement,building,City of Benton Building Department,City of Benton Building Department,local,True
us-ar-bentonville__commercial__commercial_tenant_improvement__building,AR,Bentonville,commercial_tenant_improvement,building,City of Bentonville Building & Fire Safety Division,City of Bentonville Building & Fire Safety Division,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,building,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,electrical,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,fire,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,mechanical,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,occupancy,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,plumbing,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-blytheville__commercial__commercial_tenant_improvement__building,AR,Blytheville,commercial_tenant_improvement,zoning,City of Blytheville Building Department,City of Blytheville Building Department,local,True
us-ar-bryant__commercial__commercial_tenant_improvement__building,AR,Bryant,commercial_tenant_improvement,building,City of Bryant Building Department,City of Bryant Building Department,local,True
us-ar-camden__commercial__commercial_tenant_improvement__building,AR,Camden,commercial_tenant_improvement,building,City of Camden Building Department,City of Camden Building Department,local,True
us-ar-centerton__commercial__commercial_tenant_improvement__building,AR,Centerton,commercial_tenant_improvement,building,City of Centerton Building Department,City of Centerton Building Department,local,True
us-ar-clarksville__commercial__commercial_tenant_improvement__building,AR,Clarksville,commercial_tenant_improvement,building,City of Clarksville Building Inspector / Administrative Official,City of Clarksville Building Inspector / Clarksville Public Portal,local,True
us-ar-conway__commercial__commercial_tenant_improvement__building,AR,Conway,commercial_tenant_improvement,building,City of Conway Building Department,City of Conway Building Department,local,True
us-ar-farmington__commercial__commercial_tenant_improvement__building,AR,Farmington,commercial_tenant_improvement,building,Farmington,City of Farmington building/permit authority,local,True
us-ar-fayetteville__commercial__commercial_tenant_improvement__building,AR,Fayetteville,commercial_tenant_improvement,building,City of Fayetteville Building Department,City of Fayetteville Building Department,local,True
us-ar-fort_smith__commercial__commercial_tenant_improvement__building,AR,Fort Smith,commercial_tenant_improvement,building,City of Fort Smith Building Department,City of Fort Smith Building Department,local,True
us-ar-fort_smith__commercial__commercial_tenant_improvement__building,AR,Fort Smith,commercial_tenant_improvement,electrical,City of Fort Smith Building Department,City of Fort Smith Building Department,local,True
us-ar-fort_smith__commercial__commercial_tenant_improvement__building,AR,Fort Smith,commercial_tenant_improvement,fire,City of Fort Smith Building Department,City of Fort Smith Building Department,local,True
us-ar-fort_smith__commercial__commercial_tenant_improvement__building,AR,Fort Smith,commercial_tenant_improvement,mechanical,City of Fort Smith Building Department,City of Fort Smith Building Department,local,True
